Day Index,Sessions
8/27/2016,520
8/28/2016,621
8/29/2016,1890
8/30/2016,1786
8/31/2016,1369
9/1/2016,1812
9/2/2016,1378
9/3/2016,622
9/4/2016,703
9/5/2016,1032
9/6/2016,1657
9/7/2016,1497
9/8/2016,1791
9/9/2016,1365
9/10/2016,670
9/11/2016,717
9/12/2016,2087
9/13/2016,1663
9/14/2016,1254
9/15/2016,1325
9/16/2016,1096
9/17/2016,608
9/18/2016,671
9/19/2016,1207
9/20/2016,1321
9/21/2016,1380
9/22/2016,1240
9/23/2016,1087
9/24/2016,554
9/25/2016,633
9/26/2016,1362
9/27/2016,1274
9/28/2016,1293
9/29/2016,1215
9/30/2016,1135
10/1/2016,622
10/2/2016,561
10/3/2016,1251
10/4/2016,1353
10/5/2016,1293
10/6/2016,1303
10/7/2016,1163
10/8/2016,614
10/9/2016,701
10/10/2016,1202
10/11/2016,1283
10/12/2016,1304
10/13/2016,1315
10/14/2016,1165
10/15/2016,649
10/16/2016,701
10/17/2016,1418
10/18/2016,1424
10/19/2016,1325
10/20/2016,1241
10/21/2016,1148
10/22/2016,591
10/23/2016,709
10/24/2016,1338
10/25/2016,1472
10/26/2016,1259
10/27/2016,1335
10/28/2016,1021
10/29/2016,621
10/30/2016,718
10/31/2016,1291
11/1/2016,1219
11/2/2016,1320
11/3/2016,1268
11/4/2016,1100
11/5/2016,652
11/6/2016,806
11/7/2016,1311
11/8/2016,1246
11/9/2016,1604
11/10/2016,1574
11/11/2016,1196
11/12/2016,670
11/13/2016,796
11/14/2016,1369
11/15/2016,1360
11/16/2016,1326
11/17/2016,1390
11/18/2016,1246
11/19/2016,669
11/20/2016,819
11/21/2016,2167
11/22/2016,1846
11/23/2016,1612
11/24/2016,1731
11/25/2016,1386
11/26/2016,777
11/27/2016,905
11/28/2016,1903
11/29/2016,1920
11/30/2016,1890
12/1/2016,1834
12/2/2016,1572
12/3/2016,738
12/4/2016,790
12/5/2016,1560
12/6/2016,1678
12/7/2016,1392
12/8/2016,1413
12/9/2016,1231
12/10/2016,701
12/11/2016,797
12/12/2016,1382
12/13/2016,1595
12/14/2016,1577
12/15/2016,1408
12/16/2016,1157
12/17/2016,704
12/18/2016,782
12/19/2016,3198
12/20/2016,2229
12/21/2016,1341
12/22/2016,1470
12/23/2016,1046
12/24/2016,547
12/25/2016,552
12/26/2016,836
12/27/2016,1034
12/28/2016,1062
12/29/2016,1003
12/30/2016,765
12/31/2016,420
1/1/2017,518
1/2/2017,830
1/3/2017,1262
1/4/2017,1282
1/5/2017,1362
1/6/2017,1154
1/7/2017,793
1/8/2017,888
1/9/2017,1339
1/10/2017,1335
1/11/2017,1425
1/12/2017,1370
1/13/2017,1161
1/14/2017,643
1/15/2017,729
1/16/2017,1315
1/17/2017,1506
1/18/2017,1470
1/19/2017,1473
1/20/2017,1214
1/21/2017,671
1/22/2017,786
1/23/2017,1405
1/24/2017,1529
1/25/2017,1401
1/26/2017,1318
1/27/2017,1130
1/28/2017,665
1/29/2017,744
1/30/2017,1435
1/31/2017,1421
2/1/2017,1506
2/2/2017,1526
2/3/2017,1347
2/4/2017,757
2/5/2017,832
2/6/2017,1981
2/7/2017,2026
2/8/2017,2196
2/9/2017,2095
2/10/2017,1775
2/11/2017,924
2/12/2017,1074
2/13/2017,1934
2/14/2017,1803
2/15/2017,1769
2/16/2017,1892
2/17/2017,1608
2/18/2017,990
2/19/2017,1068
2/20/2017,1760
2/21/2017,2580
2/22/2017,2242
2/23/2017,2237
2/24/2017,1749
2/25/2017,996
2/26/2017,1274
2/27/2017,2131
2/28/2017,1701
3/1/2017,1914
3/2/2017,1912
3/3/2017,1626
